"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/BE","Belgique/België","","BE","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/BE1_2","Vlaams gewest en Brussel","","BE1_2","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/BE3","Région Wallonne","","BE3","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/BG","Bulgaria","","BG","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/CZ","Ceska Republika","","CZ","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/DK","Denmark","","DK","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/DK_A","Øerne","","DK_A","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/DK_B","Jylland","","DK_B","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/DE","Germany (including ex-GDR from 1991)","","DE","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/DE1","Baden-Württemberg","","DE1","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/DE11","Stuttgart","","DE11","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/DE12","Karlsruhe","","DE12","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/DE13","Freiburg","","DE13","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/DE14","Tübingen","","DE14","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/DE2","Bayern","","DE2","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/DE21","Oberbayern","","DE21","valid","2012-03-07"
